ID,Label
R0,ID de la respuesta
R1,Hos
R2,Fecha en que se envió
R12,Fecha de nacimiento:
R13,Edad:
R14,Sexo:
R15,Estado civil:
R16,¿Cuál es su escolaridad (años completos)?
R17,¿Cuál es su ocupación actualmente?:
R18,¿Cuál es su ocupación actualmente?: [Otro]
R19,Tiene algún tipo de seguridad social: [Ninguna]
R20,Tiene algún tipo de seguridad social: [IMSS]
R21,Tiene algún tipo de seguridad social: [ISSSTE]
R22,Tiene algún tipo de seguridad social: [PEMEX]
R23,Tiene algún tipo de seguridad social: [SEDENA]
R24,Tiene algún tipo de seguridad social: [INSABI]
R25,Tiene algún tipo de seguridad social: [Otro]
R26,Señale ¿Cuál es su enfermedad reumatológica? [Lupus eritematoso generalizado]
R27,Señale ¿Cuál es su enfermedad reumatológica? [Artritis reumatoide]
R28,Señale ¿Cuál es su enfermedad reumatológica? [Vasculitis ANCA]
R29,Señale ¿Cuál es su enfermedad reumatológica? [Espondilitis anquilosante]
R30,Señale ¿Cuál es su enfermedad reumatológica? [Esclerodermia]
R31,Señale ¿Cuál es su enfermedad reumatológica? [Gota]
R32,Señale ¿Cuál es su enfermedad reumatológica? [Síndrome de Sjögren]
R33,"Señale ¿Cuál es su enfermedad reumatológica? [Miopatía inflamatoria (dermatomiositis, síndorme antisintetasa, polimiositis)]"
R34,Señale ¿Cuál es su enfermedad reumatológica? [Síndrome de anticuerpos antifosfolípidos]
R35,Señale ¿Cuál es su enfermedad reumatológica? [Artritits idiopática juvenil]
R36,Señale ¿Cuál es su enfermedad reumatológica? [Enfermedad mixta del tejido conectivo]
R37,Señale ¿Cuál es su enfermedad reumatológica? [Osteoartrosis]
R38,Señale ¿Cuál es su enfermedad reumatológica? [Otro]
R39,¿En qué año se le realizó el diagnóstico?
R60,"Durante el año previo (en los últimos 12 meses), ¿Usted requirió hospitalización?"
R62,¿Ya fue vacunado contra covid?
R63,¿Ha tenido usted la oportunidad de vacunarse contra COVID-19?
R64,¿Cuándo recibió la vacuna contra COVID-19
R65,¿Cuenta con el esquema completo de vacunación (2 dosis)?
R66,¿En qué país se vacuno?
R67,¿En qué país se vacuno? [Otro]
R68,¿Con qué marca lo/la vacunaron?
R69,¿Con qué marca lo/la vacunaron? [Otro]
R70 - R77,1. ¿Aceptaría alguna de las vacunas (aprobadas en México) para la COVID-19 si se le ofreciera?
R71 - R78,2. En la actualidad existen varias vacunas para la COVID-19. Usted considera que:
R72 - R79,3. Describiría mi actitud con respecto a recibir la vacuna para la COVID-19 como:
R73 - R80,"4. Si ya estuviera disponible para usted una vacuna para la COVID-19, ¿qué haría?"
R74 - R83,"5. Si mi familia o amigos estuvieran pensando en vacunarse para la COVID-19, yo haría lo siguiente:"
R75 - R82,"6. Con respecto a recibir la vacuna para la COVID-19, yo me describiría como:"
R76 - R81,7. Considero que recibir una vacuna para la COVID-19 es:
R84,¿Cree que se infectará con COVID-19 durante los próximos 12 meses? 
R85,¿Qué tan probable es que me funcione la vacuna COVID-19?
R86,"Si recibo la vacuna COVID-19, ¿qué tan útil será para la comunidad?:"
R87,"Si las personas como yo reciben la vacuna COVID-19, ¿qué es lo que pasará?:"
R88,"La velocidad con la que se desarrolló y probó la vacuna COVID-19, ¿qué tan buena calidad tendrá?"
R89,¿Qué tan probable es que funcione la vacuna COVID-19?:
R90,"La velocidad con la que se desarrolló y probó la vacuna COVID-19, ¿qué tan segura  sera?"
R91,"Si muchas personas no reciben la vacuna COVID-19, ¿cómo será?"
R92,"Si recibo la vacuna COVID-19, ¿qué espero sentir?"
