Date,CH,CDMX,NL,Nacional
18/02/2020,0,0,0,0
19/02/2020,0,0,0,1
20/02/2020,0,0,0,0
21/02/2020,0,0,0,0
22/02/2020,0,0,0,0
23/02/2020,0,0,0,0
24/02/2020,0,1,0,1
25/02/2020,0,0,0,0
26/02/2020,0,1,0,1
27/02/2020,0,3,0,5
28/02/2020,0,1,0,3
29/02/2020,0,0,0,2
1/3/2020,0,0,0,2
2/3/2020,0,0,0,5
3/3/2020,0,2,0,10
4/3/2020,0,3,1,10
5/3/2020,0,6,0,12
6/3/2020,0,1,0,6
7/3/2020,0,2,0,7
8/3/2020,0,3,0,8
9/3/2020,0,2,0,5
10/3/2020,0,3,4,17
11/3/2020,0,16,5,39
12/3/2020,0,23,1,41
13/03/2020,1,26,6,66
14/03/2020,1,23,6,52
15/03/2020,0,10,0,37
16/03/2020,0,28,6,77
17/03/2020,0,35,7,104
18/03/2020,1,31,12,116
19/03/2020,2,64,4,151
20/03/2020,3,36,12,132
21/03/2020,2,22,4,85
22/03/2020,3,16,4,70
23/03/2020,0,46,5,168
24/03/2020,1,63,5,221
25/03/2020,3,46,2,185
26/03/2020,4,71,1,225
27/03/2020,2,65,8,264
28/03/2020,2,62,2,191
29/03/2020,5,39,3,166
30/03/2020,7,82,5,345
31/03/2020,7,58,0,311
1/4/2020,11,70,0,382
2/4/2020,9,85,6,347
3/4/2020,6,99,2,392
4/4/2020,10,64,3,250
5/4/2020,17,59,1,259
6/4/2020,16,141,10,631
7/4/2020,14,144,8,515
8/4/2020,16,140,9,582
9/4/2020,16,150,1,483
10/4/2020,17,174,23,572
11/4/2020,20,127,8,464
12/4/2020,16,124,15,477
13/04/2020,32,293,20,953
14/04/2020,25,267,19,937
15/04/2020,30,256,8,985
16/04/2020,38,270,12,996
17/04/2020,33,354,9,1145
18/04/2020,34,213,6,815
19/04/2020,37,215,2,793
20/04/2020,58,506,13,1520
21/04/2020,55,485,18,1470
22/04/2020,58,466,17,1423
23/04/2020,71,418,6,1506
24/04/2020,67,571,7,1733
25/04/2020,51,311,6,1163
26/04/2020,40,283,8,1118
27/04/2020,74,549,20,1940
28/04/2020,70,618,28,1960
29/04/2020,78,652,22,1941
30/04/2020,83,609,29,1884
1/5/2020,72,407,27,1553
2/5/2020,64,381,22,1493
3/5/2020,37,349,9,1377
4/5/2020,76,792,40,2636
5/5/2020,101,649,61,2233
6/5/2020,84,741,27,2388
7/5/2020,85,783,25,2531
8/5/2020,73,857,32,2531
9/5/2020,63,450,28,1656
10/5/2020,65,419,20,1552
11/5/2020,83,878,43,3117
12/5/2020,72,881,36,3067
13/05/2020,89,924,68,3228
14/05/2020,89,851,38,3215
15/05/2020,83,1011,76,3693
16/05/2020,61,639,30,2266
17/05/2020,58,415,12,1738
18/05/2020,95,1135,48,4182
19/05/2020,82,1079,39,3710
20/05/2020,89,1095,61,4054
21/05/2020,112,1016,36,4104
22/05/2020,81,971,52,4133
23/05/2020,74,523,36,2415
24/05/2020,33,400,28,2004
25/05/2020,102,1093,84,4789
26/05/2020,75,955,120,4424
27/05/2020,72,1021,72,4566
28/05/2020,58,864,67,4309
29/05/2020,91,978,71,4465
30/05/2020,29,571,45,2822
31/05/2020,39,448,20,2195
1/6/2020,84,1118,85,5451
2/6/2020,87,948,96,4837
3/6/2020,63,1016,77,5071
4/6/2020,51,951,131,5013
5/6/2020,79,984,150,5158
6/6/2020,43,558,79,3147
7/6/2020,29,413,45,2469
8/6/2020,80,1056,206,6288
9/6/2020,61,1016,156,5869
10/6/2020,73,971,226,5821
