Date,CH,CDMX,NL,Nacional
17/03/2020,0,0,0,0
18/03/2020,0,0,0,3
19/03/2020,0,0,0,0
20/03/2020,0,0,0,1
21/03/2020,0,0,0,0
22/03/2020,0,1,0,2
23/03/2020,0,1,0,1
24/03/2020,0,0,0,3
25/03/2020,0,1,0,2
26/03/2020,0,3,0,8
27/03/2020,0,4,0,9
28/03/2020,0,2,0,15
29/03/2020,0,2,0,9
30/03/2020,0,4,0,14
31/03/2020,1,7,0,26
1/4/2020,0,6,0,22
2/4/2020,0,6,0,27
3/4/2020,4,7,2,34
4/4/2020,2,7,0,40
5/4/2020,2,6,1,33
6/4/2020,2,16,0,58
7/4/2020,9,11,2,62
8/4/2020,6,6,0,49
9/4/2020,5,17,0,62
10/4/2020,3,27,0,78
11/4/2020,2,24,0,82
12/4/2020,7,13,0,88
13/04/2020,5,18,1,101
14/04/2020,7,27,0,114
15/04/2020,11,27,0,116
16/04/2020,6,28,1,107
17/04/2020,14,25,0,143
18/04/2020,12,31,0,137
19/04/2020,10,42,1,181
20/04/2020,20,44,1,211
21/04/2020,26,54,0,215
22/04/2020,14,43,2,216
23/04/2020,13,62,1,231
24/04/2020,26,67,1,262
25/04/2020,17,83,1,289
26/04/2020,19,85,1,309
27/04/2020,17,74,2,284
28/04/2020,20,74,2,326
29/04/2020,22,119,2,386
30/04/2020,19,111,1,352
1/5/2020,31,118,2,411
2/5/2020,20,83,3,357
3/5/2020,18,108,2,370
4/5/2020,24,111,2,459
5/5/2020,18,120,3,450
6/5/2020,16,124,2,414
7/5/2020,27,110,2,404
8/5/2020,17,120,1,439
9/5/2020,24,109,3,416
10/5/2020,26,133,3,457
11/5/2020,19,123,3,459
12/5/2020,18,143,4,487
13/05/2020,21,126,4,492
14/05/2020,22,153,3,545
15/05/2020,18,145,4,554
16/05/2020,16,149,3,534
17/05/2020,15,158,3,585
18/05/2020,19,162,4,592
19/05/2020,26,140,5,579
20/05/2020,11,125,6,570
21/05/2020,7,171,3,574
22/05/2020,14,132,3,560
23/05/2020,14,137,2,539
24/05/2020,7,144,2,606
25/05/2020,12,143,9,630
26/05/2020,16,136,5,613
27/05/2020,8,123,4,594
28/05/2020,13,135,4,624
29/05/2020,11,120,6,576
30/05/2020,11,120,3,609
31/05/2020,6,139,2,633
1/6/2020,14,129,4,689
2/6/2020,12,123,3,650
3/6/2020,11,127,8,676
4/6/2020,8,123,10,655
5/6/2020,12,115,3,598
6/6/2020,16,123,8,666
7/6/2020,15,114,3,688
8/6/2020,18,133,5,738
9/6/2020,10,110,7,689
10/6/2020,9,119,7,706
11/6/2020,16,119,5,671
12/6/2020,10,127,11,733
13/06/2020,9,128,11,696
14/06/2020,14,115,6,719
15/06/2020,10,85,13,712
16/06/2020,11,123,12,775
17/06/2020,12,113,13,753
18/06/2020,8,102,12,679
19/06/2020,8,98,10,651
20/06/2020,6,74,7,616
21/06/2020,7,98,15,692
22/06/2020,11,76,13,669
23/06/2020,7,74,11,642
24/06/2020,7,62,14,649
25/06/2020,8,64,10,626
26/06/2020,10,73,22,670
27/06/2020,5,88,13,698
28/06/2020,8,68,17,691
29/06/2020,8,58,16,759
30/06/2020,8,72,24,718
1/7/2020,11,82,21,693
2/7/2020,8,64,31,704
3/7/2020,11,67,25,705
4/7/2020,6,78,21,740
5/7/2020,6,67,30,753
6/7/2020,14,80,29,826
7/7/2020,14,80,28,823
8/7/2020,9,51,25,738
9/7/2020,14,66,30,763
10/7/2020,12,49,19,728
11/7/2020,15,61,26,742
12/7/2020,12,71,31,758
13/07/2020,14,57,41,833
14/07/2020,9,73,32,807
15/07/2020,5,72,48,803
16/07/2020,7,58,37,816
17/07/2020,7,56,33,769
18/07/2020,7,65,44,746
19/07/2020,14,58,43,803
20/07/2020,12,55,32,804
21/07/2020,8,56,40,838
22/07/2020,17,43,48,752
23/07/2020,8,54,45,784
24/07/2020,9,45,44,732
25/07/2020,7,61,37,778
26/07/2020,10,54,45,785
27/07/2020,10,53,55,809
28/07/2020,17,49,59,778
29/07/2020,14,35,40,685
30/07/2020,13,60,40,748
31/07/2020,7,48,40,675
1/8/2020,7,47,40,735
2/8/2020,7,55,52,697
3/8/2020,11,56,41,758
4/8/2020,15,55,46,777
5/8/2020,12,61,54,719
6/8/2020,12,42,53,694
7/8/2020,11,53,55,645
8/8/2020,8,65,32,683
9/8/2020,15,34,52,653
10/8/2020,7,47,44,676
11/8/2020,10,42,46,699
12/8/2020,11,45,41,618
13/08/2020,5,46,43,615
14/08/2020,7,46,31,579
15/08/2020,7,45,34,586
16/08/2020,6,42,42,577
17/08/2020,9,45,44,626
18/08/2020,4,47,32,567
19/08/2020,9,44,31,585
20/08/2020,9,50,49,564
21/08/2020,10,41,44,558
22/08/2020,9,45,41,573
23/08/2020,6,51,30,524
24/08/2020,12,45,35,541
25/08/2020,8,56,31,545
26/08/2020,11,44,31,521
27/08/2020,12,37,23,494
28/08/2020,12,50,33,530
29/08/2020,6,52,35,513
30/08/2020,7,46,35,528
31/08/2020,13,47,43,547
1/9/2020,7,61,35,508
2/9/2020,4,51,35,490
3/9/2020,8,46,33,490
4/9/2020,14,52,33,479
5/9/2020,5,50,29,463
6/9/2020,11,49,24,459
7/9/2020,6,45,28,491
8/9/2020,4,41,34,428
9/9/2020,8,49,29,482
10/9/2020,13,49,35,440
11/9/2020,8,55,25,443
12/9/2020,10,51,29,465
13/09/2020,8,47,28,403
14/09/2020,9,47,36,451
15/09/2020,8,59,32,442
16/09/2020,6,40,24,421
17/09/2020,15,44,32,401
18/09/2020,9,45,24,372
19/09/2020,6,42,24,401
20/09/2020,16,35,25,423
21/09/2020,18,38,31,408
22/09/2020,13,49,26,431
23/09/2020,6,55,36,396
24/09/2020,13,45,22,410
25/09/2020,11,44,34,368
26/09/2020,7,47,35,386
27/09/2020,8,56,22,365
28/09/2020,11,40,29,377
29/09/2020,14,56,29,373
30/09/2020,9,42,28,354
1/10/2020,17,39,23,365
2/10/2020,17,53,32,367
3/10/2020,16,47,31,364
4/10/2020,7,46,25,346
5/10/2020,12,62,30,374
6/10/2020,19,49,29,362
7/10/2020,24,37,20,356
8/10/2020,19,44,28,355
9/10/2020,11,44,26,326
10/10/2020,22,52,27,384
11/10/2020,24,42,32,362
12/10/2020,39,51,29,422
13/10/2020,33,43,31,384
14/10/2020,42,47,22,372
15/10/2020,28,35,33,395
16/10/2020,38,42,24,368
17/10/2020,48,44,32,397
18/10/2020,47,52,27,401
19/10/2020,54,57,40,472
20/10/2020,50,46,42,437
21/10/2020,50,58,39,476
22/10/2020,45,42,38,462
23/10/2020,49,55,32,458
24/10/2020,68,42,20,444
25/10/2020,78,49,28,486
26/10/2020,62,50,35,498
27/10/2020,62,43,29,464
28/10/2020,76,61,38,480
29/10/2020,83,44,38,491
30/10/2020,70,45,39,469
31/10/2020,71,49,33,450
1/11/2020,68,58,27,459
2/11/2020,82,54,38,511
3/11/2020,91,43,29,493
4/11/2020,64,66,37,494
5/11/2020,77,60,43,520
6/11/2020,100,54,38,551
7/11/2020,83,56,27,474
8/11/2020,77,56,32,497
9/11/2020,76,56,25,519
10/11/2020,72,61,40,487
11/11/2020,70,52,30,516
12/11/2020,66,77,22,545
13/11/2020,66,68,25,516
14/11/2020,52,72,36,506
15/11/2020,64,64,29,513
16/11/2020,63,76,35,515
17/11/2020,79,65,34,566
18/11/2020,53,74,36,534
19/11/2020,46,71,28,495
20/11/2020,53,80,31,570
21/11/2020,56,70,29,558
22/11/2020,56,81,37,624
23/11/2020,35,91,24,563
24/11/2020,49,73,29,570
25/11/2020,35,86,26,550
26/11/2020,39,79,24,572
27/11/2020,44,88,28,619
28/11/2020,33,81,23,561
29/11/2020,38,69,28,577
30/11/2020,28,97,29,641
1/12/2020,37,115,27,657
2/12/2020,37,91,33,612
3/12/2020,27,77,23,592
4/12/2020,30,98,29,587
5/12/2020,29,85,26,644
6/12/2020,20,89,36,638
7/12/2020,27,127,20,672
8/12/2020,12,112,20,631
9/12/2020,22,114,37,687
10/12/2020,21,127,21,669
11/12/2020,23,119,31,696
12/12/2020,14,128,27,725
13/12/2020,19,117,24,704
14/12/2020,25,133,15,741
15/12/2020,24,144,35,747
16/12/2020,17,140,32,737
17/12/2020,15,147,21,740
18/12/2020,11,142,26,758
19/12/2020,22,152,27,796
20/12/2020,18,154,30,776
21/12/2020,16,149,24,887
22/12/2020,9,159,30,811
23/12/2020,14,158,43,821
24/12/2020,15,161,31,839
25/12/2020,21,142,31,834
26/12/2020,24,184,30,882
27/12/2020,14,191,42,913
28/12/2020,22,178,47,963
29/12/2020,11,188,41,965
30/12/2020,19,191,41,943
31/12/2020,8,165,40,883
1/1/2021,17,176,33,980
2/1/2021,11,203,41,989
3/1/2021,14,215,46,1028
4/1/2021,19,209,55,1106
5/1/2021,19,190,45,1055
6/1/2021,16,210,57,1155
7/1/2021,9,178,43,1056
8/1/2021,20,195,49,1185
9/1/2021,14,197,44,1133
10/1/2021,17,216,51,1193
11/1/2021,19,237,45,1289
12/1/2021,13,207,55,1218
13/01/2021,23,202,68,1234
14/01/2021,22,219,65,1259
15/01/2021,18,216,53,1289
16/01/2021,11,202,53,1265
17/01/2021,11,223,78,1384
18/01/2021,18,219,71,1385
19/01/2021,20,251,76,1423
20/01/2021,8,240,78,1469
21/01/2021,13,217,82,1399
22/01/2021,5,226,61,1379
23/01/2021,13,219,49,1325
24/01/2021,11,236,73,1396
25/01/2021,20,254,84,1454
26/01/2021,11,270,64,1399
27/01/2021,17,206,64,1305
28/01/2021,13,201,76,1228
29/01/2021,14,199,37,1236
30/01/2021,12,216,44,1221
31/01/2021,12,206,50,1150
1/2/2021,9,214,68,1266
2/2/2021,17,187,54,1229
3/2/2021,16,192,51,1133
4/2/2021,11,151,55,1068
5/2/2021,12,156,59,1019
6/2/2021,15,160,45,1027
7/2/2021,9,158,44,940
8/2/2021,15,160,42,1052
9/2/2021,7,160,40,947
10/2/2021,8,139,27,871
11/2/2021,9,122,39,907
12/2/2021,14,134,33,838
13/02/2021,8,143,26,753
14/02/2021,9,141,23,765
15/02/2021,6,115,28,795
16/02/2021,8,151,38,767
17/02/2021,17,136,44,733
18/02/2021,12,108,27,672
19/02/2021,2,112,42,711
20/02/2021,4,103,27,604
21/02/2021,13,126,30,714
22/02/2021,11,129,31,718
23/02/2021,9,97,26,593
24/02/2021,8,115,23,590
25/02/2021,11,103,26,571
26/02/2021,15,105,25,562
27/02/2021,9,96,24,580
28/02/2021,9,110,30,572
1/3/2021,13,102,22,573
2/3/2021,8,106,15,547
3/3/2021,8,90,15,498
4/3/2021,16,103,6,500
5/3/2021,13,107,23,510
6/3/2021,8,89,10,471
7/3/2021,8,82,25,476
8/3/2021,8,105,16,513
9/3/2021,16,91,11,450
10/3/2021,10,91,13,514
11/3/2021,7,105,20,479
12/3/2021,11,67,10,405
13/03/2021,12,88,14,419
14/03/2021,11,90,15,451
15/03/2021,7,68,15,392
16/03/2021,12,65,15,389
17/03/2021,8,67,14,395
18/03/2021,12,48,17,368
19/03/2021,7,84,11,374
20/03/2021,10,61,9,345
21/03/2021,6,62,10,374
22/03/2021,12,64,5,352
23/03/2021,11,74,8,394
24/03/2021,2,73,9,334
25/03/2021,16,61,6,297
26/03/2021,6,44,10,286
27/03/2021,6,60,6,309
28/03/2021,13,64,7,339
29/03/2021,13,60,14,332
30/03/2021,16,49,5,313
31/03/2021,8,40,2,301
1/4/2021,11,49,2,287
2/4/2021,17,47,6,291
3/4/2021,15,59,7,300
4/4/2021,22,44,6,262
5/4/2021,14,38,6,305
6/4/2021,16,36,9,267
7/4/2021,14,45,3,297
8/4/2021,21,43,6,283
9/4/2021,18,36,7,272
10/4/2021,12,28,5,263
11/4/2021,16,38,7,256
12/4/2021,13,46,7,249
13/04/2021,18,43,5,289
14/04/2021,13,39,5,265
15/04/2021,22,37,12,270
16/04/2021,20,29,6,246
17/04/2021,18,40,4,253
18/04/2021,19,31,3,205
19/04/2021,19,30,4,224
20/04/2021,10,24,3,241
21/04/2021,12,32,3,223
22/04/2021,18,34,8,193
23/04/2021,12,27,6,202
24/04/2021,14,23,4,207
25/04/2021,10,23,6,198
26/04/2021,15,30,6,207
27/04/2021,15,20,0,192
28/04/2021,16,31,6,193
29/04/2021,16,23,11,206
30/04/2021,10,19,6,153
1/5/2021,8,23,7,172
2/5/2021,20,17,8,185
3/5/2021,11,20,6,164
4/5/2021,12,12,4,148
5/5/2021,11,16,6,168
6/5/2021,13,13,1,148
7/5/2021,14,16,5,131
8/5/2021,5,11,2,123
9/5/2021,8,18,4,146
10/5/2021,7,20,7,159
11/5/2021,10,6,2,118
12/5/2021,11,14,1,130
13/05/2021,7,9,1,107
14/05/2021,8,17,3,125
15/05/2021,7,10,6,100
16/05/2021,6,8,5,115
17/05/2021,6,10,10,126
18/05/2021,5,16,4,126
19/05/2021,9,7,6,113
20/05/2021,4,8,5,103
21/05/2021,5,8,4,98
22/05/2021,5,10,7,83
23/05/2021,9,7,6,120
24/05/2021,7,9,3,106
25/05/2021,8,9,7,107
26/05/2021,4,5,1,92
27/05/2021,2,8,4,99
28/05/2021,5,5,1,96
29/05/2021,7,4,3,89
30/05/2021,3,4,4,92
31/05/2021,5,6,3,104
1/6/2021,4,6,2,92
2/6/2021,2,3,5,88
3/6/2021,5,6,2,67
4/6/2021,6,6,5,88
5/6/2021,4,5,0,96
6/6/2021,5,5,4,85
7/6/2021,4,4,6,101
8/6/2021,6,13,1,99
9/6/2021,5,5,9,92
10/6/2021,2,3,6,82
11/6/2021,4,9,2,110
12/6/2021,4,6,2,74
13/06/2021,1,3,2,82
14/06/2021,5,8,3,94
15/06/2021,3,6,3,94
16/06/2021,4,11,5,91
17/06/2021,1,11,5,99
18/06/2021,7,6,1,93
19/06/2021,6,3,1,87
20/06/2021,2,5,0,113
21/06/2021,1,9,3,106
22/06/2021,3,9,3,99
23/06/2021,2,10,3,98
24/06/2021,2,5,2,97
25/06/2021,2,4,3,110
26/06/2021,3,9,4,106
27/06/2021,0,13,3,114
28/06/2021,1,6,3,123
29/06/2021,1,8,3,126
30/06/2021,3,16,2,127
1/7/2021,0,19,4,140
2/7/2021,4,9,3,130
3/7/2021,3,11,0,114
4/7/2021,1,23,0,151
5/7/2021,0,21,2,139
6/7/2021,2,19,5,170
7/7/2021,1,22,4,161
8/7/2021,1,13,8,146
9/7/2021,1,21,6,138
10/7/2021,2,29,4,148
11/7/2021,0,21,6,172
12/7/2021,1,31,8,213
13/07/2021,3,22,6,175
14/07/2021,3,30,6,208
15/07/2021,0,31,6,216
16/07/2021,3,25,4,222
17/07/2021,3,29,8,231
18/07/2021,0,34,13,243
19/07/2021,2,35,9,281
20/07/2021,1,43,15,305
21/07/2021,3,44,18,324
22/07/2021,3,39,11,287
23/07/2021,3,37,13,349
24/07/2021,3,38,10,324
25/07/2021,4,52,19,379
26/07/2021,2,44,17,420
27/07/2021,5,48,14,416
28/07/2021,3,54,23,445
29/07/2021,2,65,19,454
30/07/2021,2,51,19,496
31/07/2021,2,67,28,505
1/8/2021,4,63,31,533
2/8/2021,2,81,34,602
3/8/2021,1,60,35,541
4/8/2021,4,68,15,557
5/8/2021,3,62,29,588
6/8/2021,5,64,40,591
7/8/2021,3,56,41,589
8/8/2021,4,76,28,604
9/8/2021,8,61,48,690
10/8/2021,10,79,42,669
11/8/2021,5,74,48,653
12/8/2021,4,59,46,659
13/08/2021,3,79,44,663
14/08/2021,1,78,42,692
15/08/2021,3,71,40,708
16/08/2021,5,72,57,743
17/08/2021,3,69,50,704
